,Backwater Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plots Greater than 5% from Curve,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Start Time,End Time,MGH Harrison Lake,MGH Harrison River Below Morris,Measured Discharge,Difference from J-Curve,,Harrison Lake Elevation,Harrison River below Morris,Fall,Free Fall,Free Fall Ratio,Free Fall Discharge,Free Fall Q Ratio,J-Curve Rated Discharge,Freefall Discharge,Final Discharge,J-Curve Model Discharge,Model Accuracy,,Rating Fall,Measured Fall,Free Fall Rated Discharge,Stage-Fall Model Discharge,Model Accuracy,,Comments
dd/mm/yyyy,hh:mm,hh:mm,(m),(m),(cms),%,,(ft),(ft),F,Ff,F/Ff,QFf,Q/QFf = JF,QFf * JF,(cfs),(cfs),(cms),%,,(m),(m),(cms),(cms),%,,
2016-05-10,10:35,10:54,10.696,10.231,740,-7.8,,35.091,33.566,1.526,1.776,0.859,30848,0.919,28365,30848,28365,803,8.5,,0.584,0.465,848,780,5.4,,River Ray / Hemisphere
2016-05-10,8:56,9:10,10.696,10.24,761,-4.2,,35.091,33.595,1.496,1.776,0.842,30848,0.91,28073,30848,28073,794,4.4,,0.584,0.456,848,774,1.7,,Rio Grande 1200 / Novatel
2016-06-07,8:21,8:39,10.794,10.261,790,-12,,35.413,33.664,1.749,1.834,0.953,32594,0.973,31726,32594,31726,898,13.7,,0.608,0.533,897,855,8.2,,River Ray / Novatel
2016-06-07,10:03,10:20,10.799,10.26,809,-10.6,,35.429,33.661,1.768,1.837,0.962,32685,0.979,31986,32685,31986,905,11.9,,0.609,0.539,900,860,6.3,,Rio Grande 1200 / Novatel
2016-08-04,7:59,8:07,10.12,9.656,523,-10.6,,33.202,31.679,1.522,1.38,1.103,,,,20678,20678,585,11.9,,0.443,0.464,587,597,14.2,,River Ray / Hemisphere
2016-08-04,9:10,9:17,10.12,9.658,560,-4.3,,33.202,31.686,1.516,1.38,1.098,,,,20678,20678,585,4.5,,0.443,0.462,587,596,6.5,,Rio Grande 1200 / Hemisphere
2016-10-12,8:05,8:21,9.224,9.019,234,-6.9,,30.262,29.59,0.673,0.646,1.042,,,,8883,8883,251,7.4,,0.224,0.205,271,263,12.2,,River Ray / Hemisphere
2016-10-12,9:27,9:41,9.216,9.014,246,-1.5,,30.236,29.573,0.663,0.639,1.037,,,,8829,8829,250,1.6,,0.222,0.202,269,260,5.6,,Rio Grande 1200 / Hemisphere
2017-01-17,11:45,12:36,8.562,8.445,140,9,,28.09,27.706,0.384,0.239,1.606,,,,4539,4539,128,-8.3,,0.062,0.117,112,141,1,,Rio Grande 1200 / Hemisphere
2017-01-17,13:04,13:35,8.562,8.447,120,-6.6,,28.09,27.713,0.377,0.239,1.578,,,,4539,4539,128,7,,0.062,0.115,112,141,17.1,,River Ray / Hemisphere
