source: WSCRichmond:\Stations\08MG013\Approved_Computations_&_Supporting_Docs\2018\Q Calculator - Harrison.xls,,
Table 7,,
Gauge Height,Free Fall Discharge,Difference
44.1,87005.46672,651.2176517
44.2,87656.68437,651.2176517
44.3,88307.90202,651.2176517
44.4,88959.11967,651.2176517
44.5,89610.33733,651.2176517
44.6,90261.55498,651.2176517
44.7,90912.77263,651.2176517
44.8,91563.99028,651.2176517
44.9,92215.20793,651.2176517
45,92866.42558,651.2176517
45.1,93517.64324,651.2176517
45.2,94168.86089,
